Product,711_SLIN,Dollar Sales,Unit Sales,711_UPC,UPC 13,UPC 10,Custom US Category,Custom US Sub Category,Custom US National Brand or Private Label,Custom US Manufacturer,Custom US Trademark,Custom US Flavor Bucket,Custom US Flavor,Custom US Price Tier,Custom US Take Home or Single Serve
00028400200684-LAYS HONEYBBQ7.75Z,304765,1787,375,28400200684,28400200681,2840020068,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,BBQ,HONEY BARBEQUE,NON-PERMISSIBLE,TAKE HOME
00028400707800-LAYS ADOBADAS 2.625Z,302022,1786,758,28400707800,28400707801,2840070780,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,ALL OTHER,ADOBADAS,NON-PERMISSIBLE,SINGLE SERVE
00028400705745-CHSTRSPFFCRNHOT4.25Z,300566,1766,660,28400705745,28400705741,2840070574,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHESTERS,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,TAKE HOME
00028400718714-FRTSFLMHTBBQXXVL3.5Z,304247,1751,706,28400718714,28400718711,2840071871,SALTY SNACKS,CORN CHIPS,NATIONAL BRAND,FRITO LAY,FRITOS,BBQ,FLAMIN HOT BARBECUE,NON-PERMISSIBLE,SINGLE SERVE
00028400702058-RUFFLESTWSTCHD1.75Z,300519,1703,716,28400702058,28400702051,2840070205,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,CHEESE,DOUBLE CHEDDAR,NON-PERMISSIBLE,SINGLE SERVE
00028400725422-DRTSSPCYPNPLJLPXXL9Z,302297,1533,256,28400725422,28400725421,2840072542,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,HOT/SPICY,SPICY PINEAPPLE JALAPENO,NON-PERMISSIBLE,TAKE HOME
00028400705707-SABRITONES ORIG 4Z,300542,1493,587,28400705707,28400705701,2840070570,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,SABRITAS,HOT/SPICY,CHILI AND LIME,NON-PERMISSIBLE,TAKE HOME
00028400331128-BAKENETHTNSPCY2.125Z,308012,1274,553,28400331128,28400331121,2840033112,SALTY SNACKS,PORK RINDS,NATIONAL BRAND,FRITO LAY,BAKEN ETS,HOT/SPICY,HOT SPICY,NON-PERMISSIBLE,SINGLE SERVE
00028400240192-FUNYUNSFLAMN'HT6Z,303740,1231,226,28400240192,28400240191,2840024019,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,FUNYUNS,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,TAKE HOME
00028400517225-RUFFLES FLMNHT7.25Z,301666,1222,204,28400517225,28400517221,2840051722,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,TAKE HOME
00028400331197-SMPLYCHTSWHCHD2.625Z,308022,997,418,28400331197,28400331191,2840033119,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,SIMPLY,CHEESE,WHITE CHEDDAR,PERMISSIBLE,SINGLE SERVE
00028400725682-CHTSFNHSGTPRPFS2.38Z,307801,979,393,28400725682,28400725681,2840072568,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,HOT/SPICY,FLAMIN' HOT SMOKY GHOST PEPPER,NON-PERMISSIBLE,SINGLE SERVE
00028400729031-FUNYUNSSPCYQUESOXL6Z,307771,954,174,28400729031,28400729031,2840072903,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,FUNYUNS,HOT/SPICY,SPICY QUESO,NON-PERMISSIBLE,TAKE HOME
00028400324489-RUFFLES JLPNRNCH2.5Z,307821,901,378,28400324489,28400481152,2840048115,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,HOT/SPICY,JALAPENO RANCH,NON-PERMISSIBLE,SINGLE SERVE
00028400070546-FL LSS DRTSRNCH1.75Z,309166,887,636,28400070546,28400070541,2840007054,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,DAIRY,COOL RANCH,NON-PERMISSIBLE,SINGLE SERVE
00028400589314-FRITOSFLMNHTCRNCHP9Z,303511,788,139,28400589314,28400589311,2840058931,SALTY SNACKS,CORN CHIPS,NATIONAL BRAND,FRITO LAY,FRITOS,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,TAKE HOME
00028400372169-LAYSKTTLSLT&VNGR8Z,304766,744,174,28400372169,28400372161,2840037216,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,SALT VARIATIONS,SEA SALT AND VINEGAR,NON-PERMISSIBLE,TAKE HOME
00028400321907-FRITOS TURBOSFLMS10Z,307912,732,135,28400321907,28400321901,2840032190,SALTY SNACKS,CORN CHIPS,NATIONAL BRAND,FRITO LAY,SABRITAS,HOT/SPICY,TURBOS FLAMAS,NON-PERMISSIBLE,TAKE HOME
00028400323987-LAYS CRISPYTCO2.625Z,308505,722,307,28400323987,28400658121,2840065812,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,HOT/SPICY,CRISPY TACO,NON-PERMISSIBLE,SINGLE SERVE
00028400336000-BAKENETS REG2.125Z,308115,709,306,28400336000,28400336001,2840033600,SALTY SNACKS,PORK RINDS,NATIONAL BRAND,FRITO LAY,BAKEN ETS,REGULAR/CLASSIC/UNFLAVORED,TRADITIONAL,NON-PERMISSIBLE,SINGLE SERVE
00028400721158-SMTFDDRTCRXXVL2.625Z,304248,667,269,28400721158,28400721151,2840072115,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SMARTFOOD,DAIRY,DORITOS COOL RANCH,NON-PERMISSIBLE,SINGLE SERVE
00028400705653-BAKEN-ETS QUESO 4Z,300569,653,247,28400705653,28400705651,2840070565,SALTY SNACKS,PORK RINDS,NATIONAL BRAND,FRITO LAY,BAKEN ETS,MEAT,QUESO,NON-PERMISSIBLE,TAKE HOME
00028400683739-LAYS RUFFLES BBQ 8Z,301528,653,109,28400683739,28400683731,2840068373,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,BBQ,SMOKEHOUSE BARBEQUE,NON-PERMISSIBLE,TAKE HOME
00028400635974-DOR BLZNBFFLRNCH3.1Z,307198,533,214,28400635974,28400635971,2840063597,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,HOT/SPICY,BLAZIN BUFFALO AND RANCH,NON-PERMISSIBLE,SINGLE SERVE
00028400331227-SMPLYDRTSWTCDR2.625Z,306166,502,212,28400331227,28400331221,2840033122,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,SIMPLY,CHEESE,WHITE CHEDDAR,PERMISSIBLE,SINGLE SERVE
00028400349369-CHEETOSSWEETOS2.375Z,305987,496,203,28400349369,28400349361,2840034936,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,SWEET,CINNAMON SUGAR,NON-PERMISSIBLE,SINGLE SERVE
00028400705660-BAKENETSSWTSOUTHHT4Z,300571,472,177,28400705660,28400705661,2840070566,SALTY SNACKS,PORK RINDS,NATIONAL BRAND,FRITO LAY,BAKEN ETS,BBQ,SWEET SOUTHERN HEAT BARBEQUE,NON-PERMISSIBLE,TAKE HOME
00028400201315-LAYS FLAMINHOT 7.75Z,302086,450,94,28400201315,28400201312,2840020131,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,TAKE HOME
00028400323994-LAYS WVYFRGRTM2.625Z,308506,432,182,28400323994,28400323991,2840032399,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,FRUIT/VEGGIE,FRIED GREEN TOMATO,NON-PERMISSIBLE,SINGLE SERVE
00028400590020-CHTSCRCHFLMHTLMN8.5Z,303406,422,78,28400590020,28400590021,2840059002,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,HOT/SPICY,FLAMIN' HOT LIMON,NON-PERMISSIBLE,TAKE HOME
00028400517966-TOSTITOS BTSZRNDS12Z,301713,418,70,28400517966,28400517961,2840051796,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,TOSTITOS,REGULAR/CLASSIC/UNFLAVORED,ORIGINAL,NON-PERMISSIBLE,TAKE HOME
00028400515887-RUFFLES FLMNHTBBQ8Z,301544,400,69,28400515887,28400515881,2840051588,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,HOT/SPICY,FLAMIN' HOT BBQ,NON-PERMISSIBLE,TAKE HOME
