Geography,Retailer Store Number,Banner Name,TDLinx,Speedway Store ID ,Street Address,City,State Code,County,ZIP Code,Latitude,Longitude,DXID
45296 1100 WEST MAPLE STREET HARTVILLE OH 44632,45296,Speedway ,445177,3403,1100 WEST MAPLE STREET   ,HARTVILLE,OH,STARK                 ,44632,40.9683,-81.3489,999QQBO
45323 1410 ELIDA ROAD LIMA OH 45805,45323,Speedway ,151453,3610,1410 ELIDA ROAD          ,LIMA,OH,ALLEN                 ,45805,40.7534,-84.1284,99APT7U
45453 1042 NORTH TUSCARAWAS AVE DOVER OH 44622,45453,Speedway ,626278,6244,1042 NORTH TUSCARAWAS AVE,DOVER,OH,TUSCARAWAS            ,44622,40.5267,-81.4894,99BLYBV
45330 243 NORTH SANDUSKY STREET TIFFIN OH 44883,45330,Speedway ,138646,3620,243 NORTH SANDUSKY STREET,TIFFIN,OH,SENECA                ,44883,41.1257,-83.1788,999BPO2
45341 939 DIXIE HIGHWAY ROSSFORD OH 43460,45341,Speedway ,177456,3642,939 DIXIE HIGHWAY        ,ROSSFORD,OH,WOOD                  ,43460,41.6053,-83.5625,9999MXU
45388 716 MAIN STREET MILFORD OH 45150,45388,Speedway ,445239,5075,716 MAIN STREET          ,MILFORD,OH,CLERMONT              ,45150,39.1768,-84.2858,999BPLX
45214 229 EAST NATIONAL ROAD VANDALIA OH 45377,45214,Speedway ,446113,1167,229 EAST NATIONAL ROAD   ,VANDALIA,OH,MONTGOMERY            ,45377,39.8913,-84.1952,999CKN5
45259 904 SCOTT STREET NAPOLEON OH 43545,45259,Speedway ,445246,1505,904 SCOTT STREET         ,NAPOLEON,OH,HENRY                 ,43545,41.39348,-84.12812,999QSPI
45185 24700 MILES RD. BEDFORD HEIGHTS OH 44146,45185,Speedway ,7836568,1031,24700 MILES RD. BEDFORD HEIGHTS,BEDFORD HEIGHTS,OH,Cuyahoga,44146,41.42381,-81.50388,99D69O0
45253 9780 OLDE 8 ROAD NORTHFIELD OH 44067,45253,Speedway ,810364,1400,9780 OLDE 8 ROAD NORTHFIELD,NORTHFIELD,OH,Rice,44067,41.3259,-81.537,999QR9B
45264 755 EAST AURORA ROAD MACEDONIA OH 44056,45264,Speedway ,2177633,1848,EAST AURORA ROAD MACEDONIA,MACEDONIA,OH,Summit,44056,41.3144,-81.51177,99C1G4Y
45275 27939 CHAGRIN BOULEVARD WOODMERE OH 44122,45275,Speedway ,442753,3321,CHAGRIN BOULEVARD WOODMERE,WOODMERE,OH,Cuyahoga,44122,41.4626,-81.481,999K72F
45278 2609 HARVARD AVENUE NEWBURGH HEIGHTS OH 44105,45278,Speedway ,445256,3328,2609 HARVARD AVENUE NEWBURGH HEIGHTS,NEWBURGH HEIGHTS,OH,Cuyahoga,44105,41.44806,-81.66937,9999MGM
45279 25300 AURORA ROAD BEDFORD HEIGHTS OH 44146,45279,Speedway ,177442,3336,25300 AURORA ROAD BEDFORD HEIGHTS,BEDFORD HEIGHTS,OH,Cuyahoga,44146,41.41,-81.5005,999QQBU
45280 2202 BROADVIEW ROAD CLEVELAND OH 44109,45280,Speedway ,177444,3341,2202 BROADVIEW ROAD CLEVELAND,CLEVELAND,OH,Cuyahoga,44109,41.4386,-81.6997,999QQBT
45299 9191 ROYALTON ROAD NORTH ROYALTON OH 44133,45299,Speedway ,445245,3408,9191 ROYALTON ROAD NORTH ROYALTON OH,NORTH ROYALTON,OH,Cuyahoga,44133,41.3127,-81.7543,999QS6Q
45307 5810 STATE ROAD PARMA OH 44134,45307,Speedway ,445265,3530,5810 STATE ROAD PARMA,PARMA,OH,Cuyahoga,44134,41.4045,-81.7106,999QSR1
45309 6731 PEARL ROAD PARMA HEIGHTS OH 44130,45309,Speedway ,225513,3537,6731 PEARL ROAD PARMA HEIGHTS,PARMA HEIGHTS,OH,Cuyahoga,44130,41.3803,-81.7843,99D5JAC
45355 17650 BAGLEY ROAD MIDDLEBURG HEIGHTS OH 44130,45355,Speedway ,445235,3677,17650 BAGLEY ROAD MIDDLEBURG HEIGHTS,MIDDLEBURG HEIGHTS,OH,Cuyahoga,44130,41.372,-81.82357,999NGEQ
45364 1555 PEARL ROAD BRUNSWICK OH 44212,45364,Speedway ,442709,3691,1555 PEARL ROAD BRUNSWICK,BRUNSWICK,OH,Medina,44212,41.233,-81.841,999QPFD
45367 630 COLUMBIA ROAD BAY VILLAGE OH 44140,45367,Speedway ,218172,3697,630 COLUMBIA ROAD BAY VILLAGE OH 44140,BAY VILLAGE,OH,Cuyahoga,44140,41.4775,-81.9019,
45375 3220 CENTER ROAD BRUNSWICK OH 44212,45375,Speedway ,1641192,3999,3220 CENTER ROAD BRUNSWICK OH 44212,BRUNSWICK,OH,Medina,44212,41.2381,-81.8018,999BZFG
45377 4549 MAYFIELD ROAD SOUTH EUCLID OH 44121,45377,Speedway ,796282,4044,4549 MAYFIELD ROAD SOUTH EUCLID OH 44121,SOUTH EUCLID,OH,Cuyahoga,44121,41.5199,-81.5157,999LGZC
45378 16400 ROCKSIDE ROAD MAPLE HEIGHTS OH 44137,45378,Speedway ,1436894,4046,16400 ROCKSIDE ROAD MAPLE HEIGHTS OH 44137,MAPLE HEIGHTS,OH,Cuyahoga,44137,41.402,-81.5663,99APASN
45442 10301 BROOKPARK ROAD PARMA OH 44130,45442,Speedway ,810666,5417,10301 BROOKPARK ROAD PARMA OH 44130,PARMA,OH,Cuyahoga,44130,41.4181,-81.7571,99AV262
45481 393 E LOCUST ST WILMINGTON OH 45177,45481,Speedway ,300578,8021,393 E LOCUST ST WILMINGTON OH 45177,WILMINGTON,OH,Clinton,45177,39.44657,-83.82176,99CFNU5
45483 880 N ROCKY RIVER DR BEREA OH 44017,45483,Speedway ,7442062,8133,880 N ROCKY RIVER DR BEREA OH 44017,BEREA,OH,Cuyahoga,44017,41.38899,-81.85206,99CTYMO
45485 1511 WARREN ROAD LAKEWOOD OH 44107,45485,Speedway ,810754,8339,1511 WARREN ROAD LAKEWOOD OH 44107,LAKEWOOD,OH,Cuyahoga,44107,41.48213,-81.7993,
45496 5122 TURNEY ROAD GARFIELD HEIGHTS OH 44125,45496,Speedway ,974922,8605,5122 TURNEY ROAD GARFIELD HEIGHTS OH 44125,GARFIELD HEIGHTS,OH,Cuyahoga,44125,41.4219,-81.6098,99AP9Z5
45499 4280 WEST 150TH STREET CLEVELAND OH 44135,45499,Speedway ,1541874,8641,4280 WEST 150TH STREET CLEVELAND OH 44135,CLEVELAND,OH,Cuyahoga,44135,41.4378,-81.8015,999HZNR
45504 24046 LORAIN ROAD NORTH OLMSTED OH 44070,45504,Speedway ,962344,9084,24046 LORAIN ROAD NORTH OLMSTED OH 44070,NORTH OLMSTED,OH,Cuyahoga,44070,41.4301,-81.8887,999I5MR
45519 7250 BROOKPARK ROAD CLEVELAND OH 44129,45519,Speedway ,272822,9172,7250 BROOKPARK ROAD CLEVELAND OH 44129,CLEVELAND,OH,Cuyahoga,44129,41.4188,-81.7339,99BQ67B
45531 7320 PEARL ROAD MIDDLEBURG HEIGHTS OH 44130,45531,Speedway ,446317,9196,7320 PEARL ROAD MIDDLEBURG HEIGHTS OH 44130,MIDDLEBURG HEIGHTS,OH,Cuyahoga,44130,41.3668,-81.8061,99APAQY
45567 15520 MUNN ROAD CLEVELAND OH 44111,45567,Speedway ,802675,9338,15520 MUNN ROAD CLEVELAND OH 44111,CLEVELAND,OH,#N/A,44111,41.459,-81.8052,999QRSF
45572 14458 CEDAR ROAD UNIVERSITY HEIGHTS OH 44121,45572,Speedway ,803052,9344,14458 CEDAR ROAD UNIVERSITY HEIGHTS OH 44121,UNIVERSITY HEIGHTS,OH,Cuyahoga,44121,41.5012,-81.5199,99APGYL
45598 900 SOUTH SOUTH STREET WILMINGTON OH 45177,45598,Speedway ,218526,9599,900 SOUTH SOUTH STREET WILMINGTON OH 45177,WILMINGTON,OH,Clinton ,45177,39.4337,-83.8302,999QQ76
